userid,filled_atype2
12b07f1b363c009e15f9c397df75329b9f29aad0f8f182267ff7e0860d48396c,NonEnglish
12b274fba679f8086a549a0f7be3b4de58e3d5d627ec6a5b34addd7bdbf257b3,NonEnglish
12ba76f38c7562e3a6765c77f242cbf62a5b9faf6dbe230c0341b50d93cac719,Unknown
12c1da578346af4a43fba0a2d7abda7267b76dd001733a3f677896392413b5a3,NonEnglish
12c6adaedbbae0aa30b6d0d0d6a4f22b0865b6415a1d6da6fbdc0e13339ef870,NonEnglish
12c8f1b1c918d2cecd0102e4f7fdb2771217a46750b220c1af5173d1d19d4112,RightTroll
12d41f8a7b55f70aad455060521d37546a604486ca793f4ba4520d01c4cb2b37,NonEnglish
12dfafa7b18888e19d2432b7bda2bd84d683d1e4f4806a8e7d36269598f83f5e,NonEnglish
12ebaf2703dd7479ba9562faf4e85c74714fa36defd87ff1bea72b6149f08010,NonEnglish
131812518,NonEnglish
131cfaf0e98c7d2951f147fc2f3c7ba6e6667e98cc649deb51713abbe288e898,Fearmonger
1328dae3986682e7200c0a96884cf37bd191fef0957f6cc40e387c78b6b6ad4e,Newsfeed
13572760b99265bc4af5704740726e2983ba2aab58b5a0fb4949e1c93ca50e8f,NonEnglish
135b0e102c42bbb243688d6510af6d4217149acde895cb1771caa0555f3ced72,Unknown
137d1602887aea0f5e7bd34450c769efca9c0eb9afd4e2f8071fbb5ec780413b,Unknown
138c356cde5939060f3491ce10e756cadb57274aba02e94069345205d0744167,HashtagGamer
1397fa9d9857b0a9357f863e53d243e890d660ea2229c3edc27f5ed29a43049a,RightTroll
1398c05b6866f30e6fca64210ea84ec3076afaa4eba074568e67eb80c5936140,NonEnglish
13b07cfe43f8039bb41df333afdf9cc67f81214381d1b347560e748846ca03a1,Unknown
13b085a353d5d3deebc87a755ac52c88f96af1f60b5bc29e4263159b97eaa235,NonEnglish
13bf5978b91bdf38470ead38df81505de6eeff178bb70292a35caf9f0b7d0c0b,NonEnglish
13c70274baada7a8149ad5cf14f498a27a6350b75973cf9efd1ca628d022c7ab,RightTroll
13feee98d73c6a156e12430bad573832b1b6e1693c5fa3ce5f53f1efa4f11605,NonEnglish
141a1b7edd26b7e69d6a2f22597427be5f3f64592c2fa7852f8f7af4f7824164,NonEnglish
141c6850d3ec17260a21dc074f40d1a10bd59c0ec0b117ac801c4873d2cae359,Unknown
1424203f7d492778f2867d94f85dca397bdbcd39e93ca39bb75af5140a77ef3b,RightTroll
1426e7dd7766a37c41ec8c74aeff76da4c81f262246ae3b1b4e40af27faeefdb,Fearmonger
144949d77c5febdf0d2672097d8153945a6dc8279e92b298015f188b97b3ac45,NonEnglish
1458b81f8ac3dbb549425e32041afdb12878be6e30abced4686f8877fb1804f2,NonEnglish
1476effd132d69d6f6bc1d8bc0e61bf3a1200a98c70ea94572ce214deea18ea8,Fearmonger
14829a4353fdc1fcd1428612dd0c53d7fdfdcc89dddc106f065f8a8585b5fefc,NonEnglish
14855e27d142324b6e1edac4ee19cba077506235bc9a5ce1d62b108443b2e3be,RightTroll
14882528f53ed4b8fbadce206679b89258e363212b5a63f31777f4e93e1a5ccf,LeftTroll
14dbbdfee24e547e7a17063a8df217176f6e59e6d39f549d2c5ac8640922fc88,NonEnglish
14e1a141e7651bc6f288335138dcd40015f7668a96f280b01c4937ca31a2b0c6,Unknown
14f0071b99a3ee53b3db7bd20f4a5e32194149971d2ff3c580ea6ae0f5e11f80,NonEnglish
15127d632c92ac4346eee6c9e09415f0169b224155318e9201edf59a2e1e365b,Unknown
151d49d9343510a7c222629cae7118eae9df5c49d3a83eed6736ab65d85b0331,NonEnglish
154b4d0d30ca4ddbf115713a23961c28f5597a1b3dd2b3b7b803c16d5036852b,Unknown
156c8b45cfde4333df86daba62eddee60f42be305991a803b705d4a2d4adb2f4,NonEnglish
1570897635418db8791ea027bbca69c85470235651ae10ac5154b4022ff0a758,Fearmonger
15835bfff24a81f5c608cc680e5cd814e492b382296ec021460161b176f37a18,RightTroll
15901f2969231684e5b4f04a820b64180d94f285d22d4a802103ac8462b861b9,Unknown
15b1ca3744d5d7fdeffbca0deb93495d09e8f576a3495cf23d5fef39ea723096,NonEnglish
15cb43bb5e95051190bd5a1f530fa440ee30abcfef34550663820956fc29095e,Fearmonger
15db31e780e1d2df7f5d8ad7ea0d3cacfde539ef93fe71572696aabc4b19ed36,NonEnglish
15fa07830cce6e7a957e4b52d73773bfec3d62dd14d43c3a8a5416ea2ffae550,NonEnglish
15fb63d5f85f874c14143876872bd3edbd622d71df9b21f82014f1fd838e11ac,Fearmonger
161d1f38310295889b29782066fb5711f2a38ee5d7e402f1cf075e67ea9a62d9,Fearmonger
162e221e84ee10aaa2b9d712b2adec991c9ca0f409411c5fa35d7c508dea4cc2,NonEnglish
16329fa4bf35d298ed8f8e4ec4126e939dd312dde084798f7c63e928179dc575,RightTroll
1632f91e0f4babb60c389a9771e4f654a908c6426ea991058034df340490f27b,NonEnglish
1650681522,HashtagGamer
166084d25a6d0ab705f0701af4361aa6d16d4e27508ce366a8565af81d953e76,NonEnglish
1683469439341f6d83e4cba0282d537af364225e8114d323d9c3cd66b3f423e6,NonEnglish
1687183549,LeftTroll
16c60c26f0005dd6e0814ffa8972726649ea075f748c0253691ee53d05dde56e,Fearmonger
16e679129d22b2e394de83913ad25b2a462e111337e732fc784eddf53f6f1c16,NonEnglish
16f8c4b676bce3e976deaca42821c8849f234488967fda4cb1cd7fc5fdef6767,Fearmonger
1718000594,HashtagGamer
174b11df3a8aa64e465219fb65a0a16c95b2bca19d1ced3d942aa270137ce89a,NonEnglish
17516dfc0b243ce62b79a6de311af239f5c448b65ed113305616d74350c7cb66,NonEnglish
17554dad557498db58086f7df493af38e4cb4e8a124b606f3c1f1cba59b76894,Fearmonger
1762accd14cbefc7eafb5aa01f70dc2863da2ee1d2d1003261376725a6f74e91,RightTroll
1769f1281b9775ecd684e0832b71f7af4c4d80ff9473ea770a583633ff6dec33,NonEnglish
179019db26001208f3ef2f199b583b1a7d9f9cd3aceaa83a43186c134d457106,NonEnglish
17a73e86600a3fa8826315714fbc961b046d9977bd80a3c3f565b2eb3e7a2f6b,RightTroll
17ae6b4c13bc140467f693f2faf08da74c1061e129c2e0f0a683197d2096b80d,Fearmonger
17c81a0b2a56cf28fd781c377ad286eee77c13de74d8815e98e3f5daa45f239c,Unknown
17c8a39d4920674a8a65b1be1e7e6d2249de582ccf947aaf0c8f3828ce29e94d,NonEnglish
17cc5e8b7e8c65a7963426b2359ae6abccf59abf556ff12619c133d0b84eb215,NonEnglish
17e124ac4ca93f89481de3001a4c73fab2d786ffa5fa4445a6ce6a2b87fb3a61,NonEnglish
17ec1fe97dd0269891483dd10c3c2356590678d3bdf8ca708a6c02152c999108,NonEnglish
1820d713ea1dcbb15a826cf0c7aa8ed2d5fd8180f4fb273f0cc05ec72813e825,RightTroll
182713bbbdbdb5a62854574c0c3400b792ca1e89559425456d524013fe1413d0,NonEnglish
1835ceb00236c225fea8474ffbf41b960a582c61d5c0460a467228a98cf7d9ed,Unknown
183b98962beb34ec8117d856d4eaf49ef16224bc573b6bc92f9836fcf9b5972b,RightTroll
183bf4413881663b3ec7d4ca094ef9f151022a03a89a8b06671cb5055e7c6340,Fearmonger
